"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR906946_G1_23F_1999","ERR906947_G3_19A_2007","ERR906949_G5_NT_2010","ERR906950_G5_19A_2010","ERR906951_G5_23B_2010","ERR906952_G5_15A_2010","ERR906953_G5_19A_2010","ERR906954_G5_7C_2010"
"bceA","","Bacitracin export ATP-binding protein BceA","8","8","1","11","2227","","","","758","758","758","SPN_01646","c42d22b1a89013949a40735112065cff_1838","1651352c2107c8e99d1e2755be326f79_832","60840bfe9c73a8f6158b7bc25c0cbd81_2012","a0f7cc78741c7df6a041aa1969fd6ff0_1188","c456f1c0372d74d556a5dc3af636a419_1960","731f4f343d163482ebf56e977393a970_2087","ca0cc224996876d0826ad521ee7078ca_1951"
"group_3412","","hypothetical protein","8","8","1","11","3260","","","","458","458","458","SPN_01771","c42d22b1a89013949a40735112065cff_1105","1651352c2107c8e99d1e2755be326f79_1704","60840bfe9c73a8f6158b7bc25c0cbd81_954","a0f7cc78741c7df6a041aa1969fd6ff0_1434","c456f1c0372d74d556a5dc3af636a419_1908","731f4f343d163482ebf56e977393a970_1678","ca0cc224996876d0826ad521ee7078ca_1255"
"galK_2","","Galactokinase","8","8","1","11","1783","","","","1178","1178","1178","SPN_00121","c42d22b1a89013949a40735112065cff_1300","1651352c2107c8e99d1e2755be326f79_1607","60840bfe9c73a8f6158b7bc25c0cbd81_580","a0f7cc78741c7df6a041aa1969fd6ff0_857","c456f1c0372d74d556a5dc3af636a419_56","731f4f343d163482ebf56e977393a970_1229","ca0cc224996876d0826ad521ee7078ca_426"
"group_3414","","hypothetical protein","8","8","1","11","823","","","","317","317","317","SPN_01112","c42d22b1a89013949a40735112065cff_84","1651352c2107c8e99d1e2755be326f79_78","60840bfe9c73a8f6158b7bc25c0cbd81_192","a0f7cc78741c7df6a041aa1969fd6ff0_187","c456f1c0372d74d556a5dc3af636a419_1695","731f4f343d163482ebf56e977393a970_1400","ca0cc224996876d0826ad521ee7078ca_140"
"group_3415","","hypothetical protein","8","8","1","11","2419","","","","188","191","189","SPN_00492","c42d22b1a89013949a40735112065cff_666","1651352c2107c8e99d1e2755be326f79_246","60840bfe9c73a8f6158b7bc25c0cbd81_1938","a0f7cc78741c7df6a041aa1969fd6ff0_622","c456f1c0372d74d556a5dc3af636a419_1579","731f4f343d163482ebf56e977393a970_926","ca0cc224996876d0826ad521ee7078ca_1481"
"pepT","","Peptidase T","8","8","1","11","543","","","","1220","1223","1221","SPN_01873","c42d22b1a89013949a40735112065cff_879","1651352c2107c8e99d1e2755be326f79_1132","60840bfe9c73a8f6158b7bc25c0cbd81_1726","a0f7cc78741c7df6a041aa1969fd6ff0_1798","c456f1c0372d74d556a5dc3af636a419_1689","731f4f343d163482ebf56e977393a970_1966","ca0cc224996876d0826ad521ee7078ca_1729"
"ssb_1","","Single-stranded DNA-binding protein","8","8","1","11","2186","","","","470","470","470","SPN_00400","c42d22b1a89013949a40735112065cff_1482","1651352c2107c8e99d1e2755be326f79_576","60840bfe9c73a8f6158b7bc25c0cbd81_1130","a0f7cc78741c7df6a041aa1969fd6ff0_530","c456f1c0372d74d556a5dc3af636a419_1506","731f4f343d163482ebf56e977393a970_217","ca0cc224996876d0826ad521ee7078ca_817"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","8","8","1","11","1261","","","","1208","1232","1229","SPN_00370","c42d22b1a89013949a40735112065cff_1510","1651352c2107c8e99d1e2755be326f79_478","60840bfe9c73a8f6158b7bc25c0cbd81_1100","a0f7cc78741c7df6a041aa1969fd6ff0_1097","c456f1c0372d74d556a5dc3af636a419_1478","731f4f343d163482ebf56e977393a970_187","ca0cc224996876d0826ad521ee7078ca_789"
"nanA_2","","N-acetylneuraminate lyase","8","8","1","11","2025","","","","917","917","917","SPN_00285","c42d22b1a89013949a40735112065cff_1902","1651352c2107c8e99d1e2755be326f79_146","60840bfe9c73a8f6158b7bc25c0cbd81_433","a0f7cc78741c7df6a041aa1969fd6ff0_1012","c456f1c0372d74d556a5dc3af636a419_237","731f4f343d163482ebf56e977393a970_100","ca0cc224996876d0826ad521ee7078ca_606"
"blaSE","","Glutamyl endopeptidase","8","8","1","11","3094","","","","656","905","757","SPN_01006","c42d22b1a89013949a40735112065cff_1416","1651352c2107c8e99d1e2755be326f79_15","60840bfe9c73a8f6158b7bc25c0cbd81_114","a0f7cc78741c7df6a041aa1969fd6ff0_290","c456f1c0372d74d556a5dc3af636a419_817","731f4f343d163482ebf56e977393a970_633","ca0cc224996876d0826ad521ee7078ca_62"
"group_3420","","hypothetical protein","8","8","1","11","2550","","","","752","752","752","SPN_00718","c42d22b1a89013949a40735112065cff_927","1651352c2107c8e99d1e2755be326f79_709","60840bfe9c73a8f6158b7bc25c0cbd81_1540","a0f7cc78741c7df6a041aa1969fd6ff0_1697","c456f1c0372d74d556a5dc3af636a419_680","731f4f343d163482ebf56e977393a970_290","ca0cc224996876d0826ad521ee7078ca_942"
"group_3421","","hypothetical protein","8","8","1","11","1773","","","","764","764","764","SPN_00112","c42d22b1a89013949a40735112065cff_1309","1651352c2107c8e99d1e2755be326f79_1616","60840bfe9c73a8f6158b7bc25c0cbd81_589","a0f7cc78741c7df6a041aa1969fd6ff0_848","c456f1c0372d74d556a5dc3af636a419_47","731f4f343d163482ebf56e977393a970_1238","ca0cc224996876d0826ad521ee7078ca_417"
"yknX","","Putative efflux system component YknX","8","8","1","11","608","","","","1199","1199","1199","SPN_01993","c42d22b1a89013949a40735112065cff_1001","1651352c2107c8e99d1e2755be326f79_315","60840bfe9c73a8f6158b7bc25c0cbd81_1763","a0f7cc78741c7df6a041aa1969fd6ff0_1618","c456f1c0372d74d556a5dc3af636a419_1010","731f4f343d163482ebf56e977393a970_1835","ca0cc224996876d0826ad521ee7078ca_868"
"mshD_2","","Mycothiol acetyltransferase","8","8","1","11","3280","","","","518","518","518","SPN_01757","c42d22b1a89013949a40735112065cff_1121","1651352c2107c8e99d1e2755be326f79_1688","60840bfe9c73a8f6158b7bc25c0cbd81_977","a0f7cc78741c7df6a041aa1969fd6ff0_1411","c456f1c0372d74d556a5dc3af636a419_1893","731f4f343d163482ebf56e977393a970_1666","ca0cc224996876d0826ad521ee7078ca_1270"
"peb1A","","Major cell-binding factor","8","8","1","11","1041","","","","764","764","764","SPN_00824","c42d22b1a89013949a40735112065cff_611","1651352c2107c8e99d1e2755be326f79_910","60840bfe9c73a8f6158b7bc25c0cbd81_1378","a0f7cc78741c7df6a041aa1969fd6ff0_478","c456f1c0372d74d556a5dc3af636a419_1338","731f4f343d163482ebf56e977393a970_372","ca0cc224996876d0826ad521ee7078ca_688"
"znuA_2","","High-affinity zinc uptake system binding-protein ZnuA","8","8","1","11","551","","","","917","917","917","SPN_01562","c42d22b1a89013949a40735112065cff_873","1651352c2107c8e99d1e2755be326f79_1138","60840bfe9c73a8f6158b7bc25c0cbd81_2037","a0f7cc78741c7df6a041aa1969fd6ff0_1103","c456f1c0372d74d556a5dc3af636a419_2147","731f4f343d163482ebf56e977393a970_2080","ca0cc224996876d0826ad521ee7078ca_2035"
"nagAa","","Ferredoxin--NAD(P)(+) reductase (naphthalene dioxygenase/salicylate 5-hydroxylase ferredoxin-specific)","8","8","1","11","1038","","","","1190","1190","1190","SPN_00827","c42d22b1a89013949a40735112065cff_608","1651352c2107c8e99d1e2755be326f79_912","60840bfe9c73a8f6158b7bc25c0cbd81_1381","a0f7cc78741c7df6a041aa1969fd6ff0_475","c456f1c0372d74d556a5dc3af636a419_1341","731f4f343d163482ebf56e977393a970_375","ca0cc224996876d0826ad521ee7078ca_685"
"cinA","","Putative competence-damage inducible protein","8","8","1","11","3278","","","","1256","1256","1256","SPN_01759","c42d22b1a89013949a40735112065cff_1119","1651352c2107c8e99d1e2755be326f79_1690","60840bfe9c73a8f6158b7bc25c0cbd81_975","a0f7cc78741c7df6a041aa1969fd6ff0_1413","c456f1c0372d74d556a5dc3af636a419_1895","731f4f343d163482ebf56e977393a970_1668","ca0cc224996876d0826ad521ee7078ca_1268"
"stkP","","Serine/threonine-protein kinase StkP","8","8","1","11","854","","","","1979","1979","1979","SPN_00230","c42d22b1a89013949a40735112065cff_44","1651352c2107c8e99d1e2755be326f79_202","60840bfe9c73a8f6158b7bc25c0cbd81_485","a0f7cc78741c7df6a041aa1969fd6ff0_957","c456f1c0372d74d556a5dc3af636a419_182","731f4f343d163482ebf56e977393a970_43","ca0cc224996876d0826ad521ee7078ca_552"
"group_3431","","hypothetical protein","8","8","1","11","2694","","","","869","869","869","SPN_00605","c42d22b1a89013949a40735112065cff_773","1651352c2107c8e99d1e2755be326f79_1773","60840bfe9c73a8f6158b7bc25c0cbd81_883","a0f7cc78741c7df6a041aa1969fd6ff0_735","c456f1c0372d74d556a5dc3af636a419_595","731f4f343d163482ebf56e977393a970_1363","ca0cc224996876d0826ad521ee7078ca_1117"
"group_3432","","hypothetical protein","8","8","1","11","2040","","","","785","785","785","SPN_00299","c42d22b1a89013949a40735112065cff_1916","1651352c2107c8e99d1e2755be326f79_130","60840bfe9c73a8f6158b7bc25c0cbd81_419","a0f7cc78741c7df6a041aa1969fd6ff0_1026","c456f1c0372d74d556a5dc3af636a419_251","731f4f343d163482ebf56e977393a970_114","ca0cc224996876d0826ad521ee7078ca_620"
"thiE_1","","Thiamine-phosphate synthase","8","8","1","11","2572","","","","632","632","632","SPN_00698","c42d22b1a89013949a40735112065cff_947","1651352c2107c8e99d1e2755be326f79_694","60840bfe9c73a8f6158b7bc25c0cbd81_1633","a0f7cc78741c7df6a041aa1969fd6ff0_1718","c456f1c0372d74d556a5dc3af636a419_660","731f4f343d163482ebf56e977393a970_271","ca0cc224996876d0826ad521ee7078ca_922"
"adhR","","HTH-type transcriptional regulator AdhR","8","8","1","11","1780","","","","353","353","353","SPN_00118","c42d22b1a89013949a40735112065cff_1303","1651352c2107c8e99d1e2755be326f79_1610","60840bfe9c73a8f6158b7bc25c0cbd81_583","a0f7cc78741c7df6a041aa1969fd6ff0_854","c456f1c0372d74d556a5dc3af636a419_53","731f4f343d163482ebf56e977393a970_1232","ca0cc224996876d0826ad521ee7078ca_423"
"bacC","","Dihydroanticapsin 7-dehydrogenase","8","8","1","11","617","","","","698","698","698","SPN_02033","c42d22b1a89013949a40735112065cff_1009","1651352c2107c8e99d1e2755be326f79_307","60840bfe9c73a8f6158b7bc25c0cbd81_1772","a0f7cc78741c7df6a041aa1969fd6ff0_1609","c456f1c0372d74d556a5dc3af636a419_1019","731f4f343d163482ebf56e977393a970_1844","ca0cc224996876d0826ad521ee7078ca_860"
"msrAB_2","","Peptide methionine sulfoxide reductase MsrA/MsrB","8","8","1","11","1409","","","","566","566","566","SPN_00781","c42d22b1a89013949a40735112065cff_1950","1651352c2107c8e99d1e2755be326f79_751","60840bfe9c73a8f6158b7bc25c0cbd81_1574","a0f7cc78741c7df6a041aa1969fd6ff0_1655","c456f1c0372d74d556a5dc3af636a419_714","731f4f343d163482ebf56e977393a970_329","ca0cc224996876d0826ad521ee7078ca_983"
"rpmD","","50S ribosomal protein L30","8","8","1","11","99","","","","182","182","182","SPN_01175","c42d22b1a89013949a40735112065cff_148","1651352c2107c8e99d1e2755be326f79_950","60840bfe9c73a8f6158b7bc25c0cbd81_259","a0f7cc78741c7df6a041aa1969fd6ff0_124","c456f1c0372d74d556a5dc3af636a419_1445","731f4f343d163482ebf56e977393a970_670","ca0cc224996876d0826ad521ee7078ca_204"
"yknY_1","","putative ABC transporter ATP-binding protein YknY","8","8","1","11","3316","","","","641","641","641","SPN_01722","c42d22b1a89013949a40735112065cff_1164","1651352c2107c8e99d1e2755be326f79_1657","60840bfe9c73a8f6158b7bc25c0cbd81_1039","a0f7cc78741c7df6a041aa1969fd6ff0_1376","c456f1c0372d74d556a5dc3af636a419_1858","731f4f343d163482ebf56e977393a970_1632","ca0cc224996876d0826ad521ee7078ca_1304"
"hisS","","Histidine--tRNA ligase","8","8","1","11","300","","","","1289","1289","1289","SPN_01426","c42d22b1a89013949a40735112065cff_444","1651352c2107c8e99d1e2755be326f79_1220","60840bfe9c73a8f6158b7bc25c0cbd81_725","a0f7cc78741c7df6a041aa1969fd6ff0_1901","c456f1c0372d74d556a5dc3af636a419_1225","731f4f343d163482ebf56e977393a970_1089","ca0cc224996876d0826ad521ee7078ca_1430"
"gltX","","Glutamate--tRNA ligase","8","8","1","11","249","","","","1460","1460","1460","SPN_01478","c42d22b1a89013949a40735112065cff_2100","1651352c2107c8e99d1e2755be326f79_1595","60840bfe9c73a8f6158b7bc25c0cbd81_675","a0f7cc78741c7df6a041aa1969fd6ff0_2086","c456f1c0372d74d556a5dc3af636a419_1176","731f4f343d163482ebf56e977393a970_1038","ca0cc224996876d0826ad521ee7078ca_1477"
"group_3441","","hypothetical protein","8","8","1","11","134","","","","569","569","569","SPN_01207","c42d22b1a89013949a40735112065cff_180","1651352c2107c8e99d1e2755be326f79_983","60840bfe9c73a8f6158b7bc25c0cbd81_291","a0f7cc78741c7df6a041aa1969fd6ff0_92","c456f1c0372d74d556a5dc3af636a419_1837","731f4f343d163482ebf56e977393a970_702","ca0cc224996876d0826ad521ee7078ca_236"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","8","8","1","11","3053","","","","866","866","866","SPN_00973","c42d22b1a89013949a40735112065cff_1452","1651352c2107c8e99d1e2755be326f79_2085","60840bfe9c73a8f6158b7bc25c0cbd81_88","a0f7cc78741c7df6a041aa1969fd6ff0_323","c456f1c0372d74d556a5dc3af636a419_783","731f4f343d163482ebf56e977393a970_598","ca0cc224996876d0826ad521ee7078ca_27"
"group_3443","","hypothetical protein","8","8","1","11","2048","","","","2387","2411","2408","SPN_00304","c42d22b1a89013949a40735112065cff_1922","1651352c2107c8e99d1e2755be326f79_1491","60840bfe9c73a8f6158b7bc25c0cbd81_414","a0f7cc78741c7df6a041aa1969fd6ff0_1032","c456f1c0372d74d556a5dc3af636a419_256","731f4f343d163482ebf56e977393a970_120","ca0cc224996876d0826ad521ee7078ca_626"
"mecA","","Adapter protein MecA","8","8","1","11","2600","","","","737","737","737","SPN_00557","c42d22b1a89013949a40735112065cff_731","1651352c2107c8e99d1e2755be326f79_627","60840bfe9c73a8f6158b7bc25c0cbd81_839","a0f7cc78741c7df6a041aa1969fd6ff0_687","c456f1c0372d74d556a5dc3af636a419_1293","731f4f343d163482ebf56e977393a970_991","ca0cc224996876d0826ad521ee7078ca_1165"
"trxA","","Thioredoxin","8","8","1","11","1681","","","","314","314","314","SPN_00205","c42d22b1a89013949a40735112065cff_1220","1651352c2107c8e99d1e2755be326f79_231","60840bfe9c73a8f6158b7bc25c0cbd81_510","a0f7cc78741c7df6a041aa1969fd6ff0_932","c456f1c0372d74d556a5dc3af636a419_134","731f4f343d163482ebf56e977393a970_1157","ca0cc224996876d0826ad521ee7078ca_506"
"group_3446","lacC_2","Tagatose-6-phosphate kinase","8","8","1","11","1855","","","","929","929","929","SPN_00682","c42d22b1a89013949a40735112065cff_2056","1651352c2107c8e99d1e2755be326f79_1076","60840bfe9c73a8f6158b7bc25c0cbd81_2003","a0f7cc78741c7df6a041aa1969fd6ff0_2062","c456f1c0372d74d556a5dc3af636a419_521","731f4f343d163482ebf56e977393a970_1287","ca0cc224996876d0826ad521ee7078ca_724"
"ctsR","","Transcriptional regulator CtsR","8","8","1","11","397","","","","458","458","458","SPN_01355","c42d22b1a89013949a40735112065cff_373","1651352c2107c8e99d1e2755be326f79_1527","60840bfe9c73a8f6158b7bc25c0cbd81_1185","a0f7cc78741c7df6a041aa1969fd6ff0_1300","c456f1c0372d74d556a5dc3af636a419_958","731f4f343d163482ebf56e977393a970_1985","ca0cc224996876d0826ad521ee7078ca_1051"
"exoA","","Exodeoxyribonuclease","8","8","1","11","1793","","","","827","827","827","SPN_00130","c42d22b1a89013949a40735112065cff_1291","1651352c2107c8e99d1e2755be326f79_1597","60840bfe9c73a8f6158b7bc25c0cbd81_572","a0f7cc78741c7df6a041aa1969fd6ff0_866","c456f1c0372d74d556a5dc3af636a419_66","731f4f343d163482ebf56e977393a970_1220","ca0cc224996876d0826ad521ee7078ca_435"
"group_3449","","hypothetical protein","8","8","1","11","2194","","","","512","512","512","SPN_00407","c42d22b1a89013949a40735112065cff_1475","1651352c2107c8e99d1e2755be326f79_2054","60840bfe9c73a8f6158b7bc25c0cbd81_1137","a0f7cc78741c7df6a041aa1969fd6ff0_537","c456f1c0372d74d556a5dc3af636a419_1513","731f4f343d163482ebf56e977393a970_224","ca0cc224996876d0826ad521ee7078ca_824"
"aroC","","Chorismate synthase","8","8","1","11","2588","","","","1166","1166","1166","SPN_00545","c42d22b1a89013949a40735112065cff_719","1651352c2107c8e99d1e2755be326f79_615","60840bfe9c73a8f6158b7bc25c0cbd81_827","a0f7cc78741c7df6a041aa1969fd6ff0_675","c456f1c0372d74d556a5dc3af636a419_1281","731f4f343d163482ebf56e977393a970_979","ca0cc224996876d0826ad521ee7078ca_1177"
"folE","","GTP cyclohydrolase 1","8","8","1","11","821","","","","554","554","554","SPN_01114","c42d22b1a89013949a40735112065cff_86","1651352c2107c8e99d1e2755be326f79_80","60840bfe9c73a8f6158b7bc25c0cbd81_194","a0f7cc78741c7df6a041aa1969fd6ff0_185","c456f1c0372d74d556a5dc3af636a419_1697","731f4f343d163482ebf56e977393a970_1402","ca0cc224996876d0826ad521ee7078ca_142"
"pabA","","Aminodeoxychorismate/anthranilate synthase component 2","8","8","1","11","1818","","","","566","566","566","SPN_00154","c42d22b1a89013949a40735112065cff_1268","1651352c2107c8e99d1e2755be326f79_1355","60840bfe9c73a8f6158b7bc25c0cbd81_550","a0f7cc78741c7df6a041aa1969fd6ff0_889","c456f1c0372d74d556a5dc3af636a419_89","731f4f343d163482ebf56e977393a970_1197","ca0cc224996876d0826ad521ee7078ca_455"
"guaC","","GMP reductase","8","8","1","11","2716","","","","986","986","986","SPN_00621","c42d22b1a89013949a40735112065cff_1749","1651352c2107c8e99d1e2755be326f79_1790","60840bfe9c73a8f6158b7bc25c0cbd81_901","a0f7cc78741c7df6a041aa1969fd6ff0_751","c456f1c0372d74d556a5dc3af636a419_577","731f4f343d163482ebf56e977393a970_1345","ca0cc224996876d0826ad521ee7078ca_1565"
"tenA_1","","Aminopyrimidine aminohydrolase","8","8","1","11","2569","","","","692","692","692","SPN_00701","c42d22b1a89013949a40735112065cff_944","1651352c2107c8e99d1e2755be326f79_697","60840bfe9c73a8f6158b7bc25c0cbd81_1636","a0f7cc78741c7df6a041aa1969fd6ff0_1715","c456f1c0372d74d556a5dc3af636a419_663","731f4f343d163482ebf56e977393a970_274","ca0cc224996876d0826ad521ee7078ca_925"
"group_3455","","Putative phosphatase","8","8","1","11","2669","","","","806","806","806","SPN_00580","c42d22b1a89013949a40735112065cff_751","1651352c2107c8e99d1e2755be326f79_2073","60840bfe9c73a8f6158b7bc25c0cbd81_862","a0f7cc78741c7df6a041aa1969fd6ff0_710","c456f1c0372d74d556a5dc3af636a419_616","731f4f343d163482ebf56e977393a970_1385","ca0cc224996876d0826ad521ee7078ca_1139"
"mapP","","Maltose 6'-phosphate phosphatase","8","8","1","11","582","","","","815","815","815","SPN_02061","c42d22b1a89013949a40735112065cff_978","1651352c2107c8e99d1e2755be326f79_337","60840bfe9c73a8f6158b7bc25c0cbd81_1602","a0f7cc78741c7df6a041aa1969fd6ff0_2066","c456f1c0372d74d556a5dc3af636a419_2027","731f4f343d163482ebf56e977393a970_1808","ca0cc224996876d0826ad521ee7078ca_890"
"ydaF_5","","Putative ribosomal N-acetyltransferase YdaF","8","8","1","11","2273","","","","551","551","551","SPN_01802","c42d22b1a89013949a40735112065cff_1784","1651352c2107c8e99d1e2755be326f79_2000","60840bfe9c73a8f6158b7bc25c0cbd81_1691","a0f7cc78741c7df6a041aa1969fd6ff0_2103","c456f1c0372d74d556a5dc3af636a419_899","731f4f343d163482ebf56e977393a970_1916","ca0cc224996876d0826ad521ee7078ca_1823"
"group_3458","","hypothetical protein","8","8","1","11","2754","","","","1274","1274","1274","SPN_00655","c42d22b1a89013949a40735112065cff_1714","1651352c2107c8e99d1e2755be326f79_1056","60840bfe9c73a8f6158b7bc25c0cbd81_1961","a0f7cc78741c7df6a041aa1969fd6ff0_786","c456f1c0372d74d556a5dc3af636a419_543","731f4f343d163482ebf56e977393a970_1309","ca0cc224996876d0826ad521ee7078ca_1599"
"yclQ","","putative ABC transporter solute-binding protein YclQ","8","8","1","11","1764","","","","965","965","965","SPN_00104","c42d22b1a89013949a40735112065cff_1317","1651352c2107c8e99d1e2755be326f79_1624","60840bfe9c73a8f6158b7bc25c0cbd81_598","a0f7cc78741c7df6a041aa1969fd6ff0_840","c456f1c0372d74d556a5dc3af636a419_39","731f4f343d163482ebf56e977393a970_1246","ca0cc224996876d0826ad521ee7078ca_409"
"dnaJ","","Chaperone protein DnaJ","8","8","1","11","2964","","","","1118","1136","1133","SPN_00901","c42d22b1a89013949a40735112065cff_535","1651352c2107c8e99d1e2755be326f79_401","60840bfe9c73a8f6158b7bc25c0cbd81_9","a0f7cc78741c7df6a041aa1969fd6ff0_394","c456f1c0372d74d556a5dc3af636a419_1941","731f4f343d163482ebf56e977393a970_531","ca0cc224996876d0826ad521ee7078ca_1813"
"thiI","","putative tRNA sulfurtransferase","8","8","1","11","2322","","","","1214","1214","1214","SPN_01674","c42d22b1a89013949a40735112065cff_1867","1651352c2107c8e99d1e2755be326f79_1877","60840bfe9c73a8f6158b7bc25c0cbd81_1333","a0f7cc78741c7df6a041aa1969fd6ff0_1215","c456f1c0372d74d556a5dc3af636a419_1095","731f4f343d163482ebf56e977393a970_406","ca0cc224996876d0826ad521ee7078ca_1897"
"rpmF","","50S ribosomal protein L32","8","8","1","11","316","","","","182","182","182","SPN_01413","c42d22b1a89013949a40735112065cff_431","1651352c2107c8e99d1e2755be326f79_1207","60840bfe9c73a8f6158b7bc25c0cbd81_737","a0f7cc78741c7df6a041aa1969fd6ff0_1888","c456f1c0372d74d556a5dc3af636a419_1238","731f4f343d163482ebf56e977393a970_1102","ca0cc224996876d0826ad521ee7078ca_1417"
"lacB","","Galactose-6-phosphate isomerase subunit LacB","8","8","1","11","1854","","","","515","515","515","SPN_00683","c42d22b1a89013949a40735112065cff_2055","1651352c2107c8e99d1e2755be326f79_1075","60840bfe9c73a8f6158b7bc25c0cbd81_2004","a0f7cc78741c7df6a041aa1969fd6ff0_2063","c456f1c0372d74d556a5dc3af636a419_522","731f4f343d163482ebf56e977393a970_1288","ca0cc224996876d0826ad521ee7078ca_723"
"group_3464","lacR_3","Lactose phosphotransferase system repressor","8","8","1","11","1915","","","","761","761","761","SPN_00676","c42d22b1a89013949a40735112065cff_2064","1651352c2107c8e99d1e2755be326f79_1085","60840bfe9c73a8f6158b7bc25c0cbd81_1996","a0f7cc78741c7df6a041aa1969fd6ff0_2056","c456f1c0372d74d556a5dc3af636a419_515","731f4f343d163482ebf56e977393a970_1281","ca0cc224996876d0826ad521ee7078ca_730"
"suhB","","Fructose-1,6-bisphosphatase/inositol-1-monophosphatase","8","8","1","11","2453","","","","773","773","773","SPN_00517","c42d22b1a89013949a40735112065cff_692","1651352c2107c8e99d1e2755be326f79_589","60840bfe9c73a8f6158b7bc25c0cbd81_800","a0f7cc78741c7df6a041aa1969fd6ff0_647","c456f1c0372d74d556a5dc3af636a419_1254","731f4f343d163482ebf56e977393a970_952","ca0cc224996876d0826ad521ee7078ca_1205"
"group_3466","","hypothetical protein","8","8","1","11","518","","","","758","758","758","SPN_01842","c42d22b1a89013949a40735112065cff_910","1651352c2107c8e99d1e2755be326f79_1111","60840bfe9c73a8f6158b7bc25c0cbd81_1892","a0f7cc78741c7df6a041aa1969fd6ff0_1767","c456f1c0372d74d556a5dc3af636a419_1658","731f4f343d163482ebf56e977393a970_2004","ca0cc224996876d0826ad521ee7078ca_1691"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","8","8","1","11","3153","","","","692","692","692","SPN_01571","c42d22b1a89013949a40735112065cff_865","1651352c2107c8e99d1e2755be326f79_1150","60840bfe9c73a8f6158b7bc25c0cbd81_1409","a0f7cc78741c7df6a041aa1969fd6ff0_1112","c456f1c0372d74d556a5dc3af636a419_437","731f4f343d163482ebf56e977393a970_1504","ca0cc224996876d0826ad521ee7078ca_1340"
"speA","","Arginine decarboxylase","8","8","1","11","2224","","","","1460","1475","1473","SPN_01642","c42d22b1a89013949a40735112065cff_793","1651352c2107c8e99d1e2755be326f79_829","60840bfe9c73a8f6158b7bc25c0cbd81_1477","a0f7cc78741c7df6a041aa1969fd6ff0_1184","c456f1c0372d74d556a5dc3af636a419_1986","731f4f343d163482ebf56e977393a970_1577","ca0cc224996876d0826ad521ee7078ca_1412"
"murD","","UDP-N-acetylmuramoylalanine--D-glutamate ligase","8","8","1","11","1365","","","","1352","1352","1352","SPN_00734","c42d22b1a89013949a40735112065cff_1977","1651352c2107c8e99d1e2755be326f79_723","60840bfe9c73a8f6158b7bc25c0cbd81_1547","a0f7cc78741c7df6a041aa1969fd6ff0_1681","c456f1c0372d74d556a5dc3af636a419_687","731f4f343d163482ebf56e977393a970_304","ca0cc224996876d0826ad521ee7078ca_957"
"group_347","","Hyaluronate lyase","8","8","1","11","942","","","","2675","3203","3078","SPN_01078","c42d22b1a89013949a40735112065cff_1346","1651352c2107c8e99d1e2755be326f79_69","60840bfe9c73a8f6158b7bc25c0cbd81_183","a0f7cc78741c7df6a041aa1969fd6ff0_221","c456f1c0372d74d556a5dc3af636a419_1158","731f4f343d163482ebf56e977393a970_1739","ca0cc224996876d0826ad521ee7078ca_132"
"group_3470","","putative ABC transporter ATP-binding protein","8","8","1","11","2607","","","","1748","1751","1748","SPN_00563","c42d22b1a89013949a40735112065cff_736","1651352c2107c8e99d1e2755be326f79_632","60840bfe9c73a8f6158b7bc25c0cbd81_845","a0f7cc78741c7df6a041aa1969fd6ff0_693","c456f1c0372d74d556a5dc3af636a419_1299","731f4f343d163482ebf56e977393a970_996","ca0cc224996876d0826ad521ee7078ca_1160"
"yfmL","","putative ATP-dependent RNA helicase YfmL","8","8","1","11","2368","","","","1082","1082","1082","SPN_00454","c42d22b1a89013949a40735112065cff_2021","1651352c2107c8e99d1e2755be326f79_290","60840bfe9c73a8f6158b7bc25c0cbd81_1792","a0f7cc78741c7df6a041aa1969fd6ff0_584","c456f1c0372d74d556a5dc3af636a419_1532","731f4f343d163482ebf56e977393a970_881","ca0cc224996876d0826ad521ee7078ca_1539"
"rsmH_2","","Ribosomal RNA small subunit methyltransferase H","8","8","1","11","1404","","","","557","557","557","SPN_00786","c42d22b1a89013949a40735112065cff_1945","1651352c2107c8e99d1e2755be326f79_756","60840bfe9c73a8f6158b7bc25c0cbd81_1579","a0f7cc78741c7df6a041aa1969fd6ff0_1650","c456f1c0372d74d556a5dc3af636a419_719","731f4f343d163482ebf56e977393a970_334","ca0cc224996876d0826ad521ee7078ca_988"
"dus","","putative tRNA-dihydrouridine synthase","8","8","1","11","386","","","","980","980","980","SPN_01361","c42d22b1a89013949a40735112065cff_380","1651352c2107c8e99d1e2755be326f79_1169","60840bfe9c73a8f6158b7bc25c0cbd81_786","a0f7cc78741c7df6a041aa1969fd6ff0_1306","c456f1c0372d74d556a5dc3af636a419_965","731f4f343d163482ebf56e977393a970_1151","ca0cc224996876d0826ad521ee7078ca_1045"
